,Distributional-Justice,Distributional-Justice,Distributional-Justice,Procedual-Justice,Procedual-Justice,Procedual-Justice,Recognition-Justice,Recognition-Justice,Recognition-Justice,Restorative-Justice,Restorative-Justice,Restorative-Justice,Cosmopolitan-Justice,Cosmopolitan-Justice,Cosmopolitan-Justice,Intergenerational-Justice,Intergenerational-Justice,Intergenerational-Justice
45,energy poverty,1.0,'10.1016/j.enpol.2021.112205',,,,,,,,,,,,,,,
46, heating poverty,1.0,'10.1016/j.enpol.2021.112205',,,,,,,,,,,,,,,
47,  health economic benefits,1.0,'10.1016/j.enpol.2021.112205',,,,,,,,,,,,,,,
48,thermal comfort,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,,,,,,,
49, affordability,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,,,,,,,
50, environmental sustainability,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,,,,,,,
51, autonomy,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,,,,,,,
52, inclusiveness,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,,,,,,,
53,neighbourhood asset score (nas),1.0,'10.1080/13549839.2021.1916899',,,,,,,,,,,,,,,
54, neighbourhood deficit score,1.0,'10.1080/13549839.2021.1916899',,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
