,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
17,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1007/s10584-017-2094-x,,,,,,
18,spatiality: geospatial perspective,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
19,"technology-specific: discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
20,spatiality: geospatial perspective,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
21,clean cooking,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
22,"project planning: infrastructure and capacity implementation, potentially step-wise (likely near future)",10.1016/j.apenergy.2021.118235,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless, Other persons affected",,,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless",,
23,"technology-specific: discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
24,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
25,health impacts,10.3390/ijerph18020620,"Regression coefficient between energy burden and premature mortality, Regression coefficient between energy burden and self-reported health, Regression coefficient between energy burden and life expectancy",,,,,
26,spatiality: geospatial perspective,10.1016/j.enpol.2021.112158,"distributional employment impacts, land acquisation and compensation, spatial distribution of job loss and gains ",,,"distributional employment impacts, land acquisation and compensation",,
27,employment calculation,10.1016/j.enpol.2021.112158,"distributional employment impacts, land acquisation and compensation, spatial distribution of job loss and gains ",,,"distributional employment impacts, land acquisation and compensation",,
28,decentralization,10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
29,"energy system planning: estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways)",10.1109/GHTC46095.2019.9033126,livelihood and cultural heritage protection,"local-participation, job factor, economic inflow factors",livelihood and cultural heritage protection,,,
30,electrification: providing electricity access to people previously lacking access,10.1109/GHTC46095.2019.9033126,livelihood and cultural heritage protection,"local-participation, job factor, economic inflow factors",livelihood and cultural heritage protection,,,
31,"project planning: infrastructure and capacity implementation, potentially step-wise (likely near future)",10.1007/s10098-022-02278-1,Community infrastructure,"Labour rights, Human rights, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",,,"Labour rights, Human rights, Health and Safety, Community infrastructure, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",
32,"technology-specific: discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",10.1007/s10098-022-02278-1,Community infrastructure,"Labour rights, Human rights, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",,,"Labour rights, Human rights, Health and Safety, Community infrastructure, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",
33,"demand assessment: estimation of demand needs or profiles, possible from a household-scale up to county-scale",10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
34,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
35,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1016/j.enpol.2021.112205,"energy poverty, heating poverty,  health economic benefits",,,,,
36,"project planning: infrastructure and capacity implementation, potentially step-wise (likely near future)",10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
37,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
38,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
39,spatiality: geospatial perspective,10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
