,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
30,country-level (including comparisons),10.1016/j.apenergy.2021.118235,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless, Other persons affected",,,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless",,
31,city/municipality,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
32,households/prosumers,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
33,country-level (including comparisons),10.3390/ijerph18020620,"Regression coefficient between energy burden and premature mortality, Regression coefficient between energy burden and self-reported health, Regression coefficient between energy burden and life expectancy",,,,,
34,city/municipality,10.3390/ijerph18020620,"Regression coefficient between energy burden and premature mortality, Regression coefficient between energy burden and self-reported health, Regression coefficient between energy burden and life expectancy",,,,,
35,state/region,10.1016/j.enpol.2021.112158,"distributional employment impacts, land acquisation and compensation, spatial distribution of job loss and gains ",,,"distributional employment impacts, land acquisation and compensation",,
36,households/prosumers,10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
37,neighbourhoods,10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
38,country-level (including comparisons),10.1109/GHTC46095.2019.9033126,livelihood and cultural heritage protection,"local-participation, job factor, economic inflow factors",livelihood and cultural heritage protection,,,
39,continent/union,10.1007/s10098-022-02278-1,Community infrastructure,"Labour rights, Human rights, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",,,"Labour rights, Human rights, Health and Safety, Community infrastructure, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",
40,city/municipality,10.1007/s10098-022-02278-1,Community infrastructure,"Labour rights, Human rights, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",,,"Labour rights, Human rights, Health and Safety, Community infrastructure, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",
41,community,10.1007/s10098-022-02278-1,Community infrastructure,"Labour rights, Human rights, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",,,"Labour rights, Human rights, Health and Safety, Community infrastructure, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",
42,state/region,10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
43,city/municipality,10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
44,households/prosumers,10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
45,state/region,10.1016/j.enpol.2021.112205,"energy poverty, heating poverty,  health economic benefits",,,,,
46,city/municipality,10.1016/j.enpol.2021.112205,"energy poverty, heating poverty,  health economic benefits",,,,,
47,households/prosumers,10.1016/j.enpol.2021.112205,"energy poverty, heating poverty,  health economic benefits",,,,,
48,continent/union,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
49,city/municipality,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
50,heating initiative in a city districtnamed ,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
51,city/municipality,10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
