,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
23,city/rural households,10.1016/j.apenergy.2020.114749,,,,,,
24,income,10.1016/j.apenergy.2020.114749,,,,,,
25,average consumer,10.1016/j.apenergy.2020.114749,,,,,,
26,"grid, non-grid",10.1016/j.apenergy.2020.114749,,,,,,
27,building conditions,10.1016/j.scs.2021.103647,Energy burden,,,,,
28,income,10.1016/j.scs.2021.103647,Energy burden,,,,,
29,city/rural households,10.1016/j.jclepro.2019.119626,,,,,,
30,age,10.1016/j.jclepro.2019.119626,,,,,,
31,occupation,10.1016/j.jclepro.2019.119626,,,,,,
32,income,10.1016/j.jclepro.2019.119626,,,,,,
33,gender,10.1016/j.jclepro.2019.119626,,,,,,
34,average consumer,10.1016/j.jclepro.2019.119626,,,,,,
35,city/rural households,10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
36,average consumer,10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
37,income,10.1007/s10584-017-2094-x,,,,,,
38,city/rural households,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
39,building conditions,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
40,age,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
41,income,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
42,health,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
43,race,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
44,race,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
45,gender,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
46,people who are affected by land acquisation/loss due to hydropower projects,10.1016/j.apenergy.2021.118235,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless, Other persons affected",,,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless",,
47,building conditions,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
48,occupation,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
49,income,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
50,education level,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
51,income,10.3390/ijerph18020620,"Regression coefficient between energy burden and premature mortality, Regression coefficient between energy burden and self-reported health, Regression coefficient between energy burden and life expectancy",,,,,
52,health,10.3390/ijerph18020620,"Regression coefficient between energy burden and premature mortality, Regression coefficient between energy burden and self-reported health, Regression coefficient between energy burden and life expectancy",,,,,
53,race,10.3390/ijerph18020620,"Regression coefficient between energy burden and premature mortality, Regression coefficient between energy burden and self-reported health, Regression coefficient between energy burden and life expectancy",,,,,
54,occupation,10.1016/j.enpol.2021.112158,"distributional employment impacts, land acquisation and compensation, spatial distribution of job loss and gains ",,,"distributional employment impacts, land acquisation and compensation",,
55,income,10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
56,average consumer,10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
57,neighbourhood,10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
58,energy poor,10.1109/GHTC46095.2019.9033126,livelihood and cultural heritage protection,"local-participation, job factor, economic inflow factors",livelihood and cultural heritage protection,,,
59,average consumer,10.1007/s10098-022-02278-1,Community infrastructure,"Labour rights, Human rights, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",,,"Labour rights, Human rights, Health and Safety, Community infrastructure, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",
60,building conditions,10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
61,number of household members,10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
62,income,10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
63,city/rural households,10.1016/j.enpol.2021.112205,"energy poverty, heating poverty,  health economic benefits",,,,,
64,income,10.1016/j.enpol.2021.112205,"energy poverty, heating poverty,  health economic benefits",,,,,
65,city/rural households,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
66,houseownership and rent,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
67,building conditions,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
68,number of household members,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
69,income,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
70,heat consumption,10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
71,communters,10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
72,age,10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
73,income,10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
74,race,10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
75,"high school degree, households with no vehicle",10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
