,Indicator,1. DOI ,2. Author-defined keywords (no own synopsis) ,5. To which energy sector (or research field) is justice applied?,6. To which country/region is the paper applied? ,7. At which scale is the paper subject discussed? ,8. What is the time-scale assessed in the paper?,9. Which energy-related examples are discussed in the paper?,12. Which justice definition is explicitly used in the paper?,17. Is a model applied in the paper?,19. Which groups of people are assessed with the model?,23. At which place of the model are justice indicators integrated?,25. Is a case study with a comparison of a techno-economic and a socially/just optimized energy system included?,Which justice dimension is addressed?
10,energy burden,10.1016/j.scs.2021.103647,"Urban building energy, Human health, Exposure to PM2.5 pollution, Natural ventilation, Equity within the built environment, Machine learning",Heating and Cooling;Buildings,"USA, Chicago",City/Municipality;Community,Present (eg. status quo assessment),SPATIALITY: Geospatial perspective,Environmental Justice and Energy Justice,Yes,Building conditions;Income,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
11,electricity generation per capita,10.1016/j.apenergy.2019.113724,"Decentralized renewable electricity generation, spatial modeling, regional equity, solar PV, distributional impacts, energy justice",Electricity,"Switzerland, Swiss municipalities",Country-level (including comparisons);State/Region;City/Municipality,Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);SPATIALITY: Geospatial perspective",Energy justice,Yes,City/Rural households;Average consumer,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
12,electricity generation per demand,10.1016/j.apenergy.2019.113724,"Decentralized renewable electricity generation, spatial modeling, regional equity, solar PV, distributional impacts, energy justice",Electricity,"Switzerland, Swiss municipalities",Country-level (including comparisons);State/Region;City/Municipality,Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);SPATIALITY: Geospatial perspective",Energy justice,Yes,City/Rural households;Average consumer,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
13,investment share,10.1016/j.apenergy.2019.113724,"Decentralized renewable electricity generation, spatial modeling, regional equity, solar PV, distributional impacts, energy justice",Electricity,"Switzerland, Swiss municipalities",Country-level (including comparisons);State/Region;City/Municipality,Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);SPATIALITY: Geospatial perspective",Energy justice,Yes,City/Rural households;Average consumer,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
14,regional spillover,10.1016/j.apenergy.2019.113724,"Decentralized renewable electricity generation, spatial modeling, regional equity, solar PV, distributional impacts, energy justice",Electricity,"Switzerland, Swiss municipalities",Country-level (including comparisons);State/Region;City/Municipality,Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);SPATIALITY: Geospatial perspective",Energy justice,Yes,City/Rural households;Average consumer,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
15,regional equity,10.1016/j.apenergy.2019.113724,"Decentralized renewable electricity generation, spatial modeling, regional equity, solar PV, distributional impacts, energy justice",Electricity,"Switzerland, Swiss municipalities",Country-level (including comparisons);State/Region;City/Municipality,Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);SPATIALITY: Geospatial perspective",Energy justice,Yes,City/Rural households;Average consumer,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
16,spatial distribution of electricity generation per demand,10.1016/j.apenergy.2019.113724,"Decentralized renewable electricity generation, spatial modeling, regional equity, solar PV, distributional impacts, energy justice",Electricity,"Switzerland, Swiss municipalities",Country-level (including comparisons);State/Region;City/Municipality,Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);SPATIALITY: Geospatial perspective",Energy justice,Yes,City/Rural households;Average consumer,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
17,gini index,10.1016/j.apenergy.2019.113724,"Decentralized renewable electricity generation, spatial modeling, regional equity, solar PV, distributional impacts, energy justice",Electricity,"Switzerland, Swiss municipalities",Country-level (including comparisons);State/Region;City/Municipality,Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"ENERGY SYSTEM PLANNING: Estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways);SPATIALITY: Geospatial perspective",Energy justice,Yes,City/Rural households;Average consumer,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
18,electricity recovery data,10.1016/j.envsci.2021.04.004,"Environmental justice, Hurricane Maria, Puerto Rico, Environmental justice index",Electricity,Puerto Rico,Country-level (including comparisons);State/Region,Past;Present (eg. status quo assessment),SPATIALITY: Geospatial perspective,Environmental justice,Yes,City/Rural households;Building conditions;Age;Income;Health;Race,Regression analysis,Yes,Distributional-Justice
19,risk of environmental injustice based on demographic and environmental indicators,10.1016/j.envsci.2021.04.004,"Environmental justice, Hurricane Maria, Puerto Rico, Environmental justice index",Electricity,Puerto Rico,Country-level (including comparisons);State/Region,Past;Present (eg. status quo assessment),SPATIALITY: Geospatial perspective,Environmental justice,Yes,City/Rural households;Building conditions;Age;Income;Health;Race,Regression analysis,Yes,"Distributional-Justice, Recognition-Justice"
20,regression coefficients (biogas adoption vs. marginalized,10.1186/s13705-017-0111-6,"Energy justice, Unconventional energy, Distributive justice, Post-distributive justice, Nepal, Bioenergy",Cooking,"Nepal,  Village Development Committee (VDC), Kapilvastu district, Kaski district, Saptari district",Country-level (including comparisons);State/Region;Community;Households/Prosumers,Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;SPATIALITY: Geospatial perspective;Clean Cooking",Energy justice,Yes,Race;Gender,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
21,female population and no electrical facility),10.1186/s13705-017-0111-6,"Energy justice, Unconventional energy, Distributive justice, Post-distributive justice, Nepal, Bioenergy",Cooking,"Nepal,  Village Development Committee (VDC), Kapilvastu district, Kaski district, Saptari district",Country-level (including comparisons);State/Region;Community;Households/Prosumers,Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;SPATIALITY: Geospatial perspective;Clean Cooking",Energy justice,Yes,Race;Gender,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
22,regression coefficients (biogas adoption in minoritized populations),10.1186/s13705-017-0111-6,"Energy justice, Unconventional energy, Distributive justice, Post-distributive justice, Nepal, Bioenergy",Cooking,"Nepal,  Village Development Committee (VDC), Kapilvastu district, Kaski district, Saptari district",Country-level (including comparisons);State/Region;Community;Households/Prosumers,Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;SPATIALITY: Geospatial perspective;Clean Cooking",Energy justice,Yes,Race;Gender,"RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Recognition-Justice
23,land acquisation (around the project site),10.1016/j.apenergy.2021.118235,"Hydropower, Sustainability, Infrastructure development, MCDM, Fuzzy methods",Electricity,India,Country-level (including comparisons),Past,"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future)",,Yes,people who are affected by land acquisation/loss due to hydropower projects,"SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,"Distributional-Justice, Restorative-Justice"
24,persons whose agricultural land has been acquired,10.1016/j.apenergy.2021.118235,"Hydropower, Sustainability, Infrastructure development, MCDM, Fuzzy methods",Electricity,India,Country-level (including comparisons),Past,"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future)",,Yes,people who are affected by land acquisation/loss due to hydropower projects,"SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,"Distributional-Justice, Restorative-Justice"
25,persons who have become landless and houseless,10.1016/j.apenergy.2021.118235,"Hydropower, Sustainability, Infrastructure development, MCDM, Fuzzy methods",Electricity,India,Country-level (including comparisons),Past,"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future)",,Yes,people who are affected by land acquisation/loss due to hydropower projects,"SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,"Distributional-Justice, Restorative-Justice"
26,other persons affected,10.1016/j.apenergy.2021.118235,"Hydropower, Sustainability, Infrastructure development, MCDM, Fuzzy methods",Electricity,India,Country-level (including comparisons),Past,"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future)",,Yes,people who are affected by land acquisation/loss due to hydropower projects,"SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.",Yes,Distributional-Justice
27,exposure to risks,10.1016/j.ecolecon.2022.107456,"Energy vulnerability, Energy justice, Case studies, Coal-to-gas policy, Distributive injustice",Heating and Cooling;Buildings,"Gaocheng District, Hebei Province, China",City/Municipality;Households/Prosumers,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",Energy justice,Yes,Building conditions;Occupation;Income;Education level,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
28,sensitivity to changes,10.1016/j.ecolecon.2022.107456,"Energy vulnerability, Energy justice, Case studies, Coal-to-gas policy, Distributive injustice",Heating and Cooling;Buildings,"Gaocheng District, Hebei Province, China",City/Municipality;Households/Prosumers,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",Energy justice,Yes,Building conditions;Occupation;Income;Education level,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
29,amount of subsidy per household,10.1016/j.ecolecon.2022.107456,"Energy vulnerability, Energy justice, Case studies, Coal-to-gas policy, Distributive injustice",Heating and Cooling;Buildings,"Gaocheng District, Hebei Province, China",City/Municipality;Households/Prosumers,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",Energy justice,Yes,Building conditions;Occupation;Income;Education level,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
30,loss of distributive justice,10.1016/j.ecolecon.2022.107456,"Energy vulnerability, Energy justice, Case studies, Coal-to-gas policy, Distributive injustice",Heating and Cooling;Buildings,"Gaocheng District, Hebei Province, China",City/Municipality;Households/Prosumers,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",Energy justice,Yes,Building conditions;Occupation;Income;Education level,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
31,monetary resource waste,10.1016/j.ecolecon.2022.107456,"Energy vulnerability, Energy justice, Case studies, Coal-to-gas policy, Distributive injustice",Heating and Cooling;Buildings,"Gaocheng District, Hebei Province, China",City/Municipality;Households/Prosumers,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",Energy justice,Yes,Building conditions;Occupation;Income;Education level,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Distributional-Justice
32,energy vulnerability,10.1016/j.ecolecon.2022.107456,"Energy vulnerability, Energy justice, Case studies, Coal-to-gas policy, Distributive injustice",Heating and Cooling;Buildings,"Gaocheng District, Hebei Province, China",City/Municipality;Households/Prosumers,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",Energy justice,Yes,Building conditions;Occupation;Income;Education level,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",Yes,Recognition-Justice
33,level of energy poverty,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
