,word,count,DOI
67,hazardous waste,1,'10.1016/j.enpol.2019.110935'
68,impaired water bodies,1,'10.1016/j.enpol.2019.110935'
69,solid waste sites,1,'10.1016/j.enpol.2019.110935'
70,median household income for each census tract,1,'10.1016/j.enpol.2019.110935'
71,solar irradiance,1,'10.1016/j.enpol.2019.110935'
72,median household income,1,'10.1016/j.enpol.2019.110935'
73,electricity rates,1,'10.1016/j.enpol.2019.110935'
74,percentage of disadvantaged communities per area,1,'10.1016/j.enpol.2019.110935'
75,pv installations over time,1,'10.1016/j.enpol.2019.110935'
76,population density,1,'10.1016/j.enpol.2019.110935'
77,housing costs,1,'10.1016/j.enpol.2019.110935'
78,geospatial granularity,1,'10.1016/j.enpol.2019.110935'
79,building conditions,1,'10.1016/j.ecolecon.2022.107456'
80,education level,1,'10.1016/j.ecolecon.2022.107456'
81,carreer field,1,'10.1016/j.ecolecon.2022.107456'
82,percentage of income for energy expenditures,1,'10.1016/j.ecolecon.2022.107456'
83,number of rooms,1,'10.1016/j.ecolecon.2022.107456'
84,households energy efficiency,1,'10.1016/j.erss.2017.09.035'
85, fuel costs,1,'10.1016/j.erss.2017.09.035'
86,property size,1,'10.1016/j.erss.2017.09.035'
87,number of people,1,'10.1016/j.erss.2017.09.035'
88,after housing cost,1,'10.1016/j.erss.2017.09.035'
89,fuel mix,1,'10.1016/j.erss.2017.09.035'
90,national income threshold,1,'10.1016/j.erss.2017.09.035'
91,fuel cost threshold,1,'10.1016/j.erss.2017.09.035'
92,age-adjusted premature mortality,1,'10.3390/ijerph18020620'
93,self-reported health,1,'10.3390/ijerph18020620'
94,life expectancy,1,'10.3390/ijerph18020620'
95,social capital,1,'10.3390/ijerph18020620'
96,environmental quality,1,'10.3390/ijerph18020620'
97,pm2.5 or particulate matter,1,'10.3390/ijerph18020620'
98,income inequality,1,'10.3390/ijerph18020620'
99,inadequate housing,1,'10.3390/ijerph18020620'
100,overcrowded housing,1,'10.3390/ijerph18020620'
101,housing without kitchen or plumbing,1,'10.3390/ijerph18020620'
102,number of associations per capita,1,'10.3390/ijerph18020620'
103,voter turnout,1,'10.3390/ijerph18020620'
104,non-profit organisations without international focus,1,'10.3390/ijerph18020620'
105,percent of non-hispanic back,1,'10.3390/ijerph18020620'
106,healthy food access,1,'10.3390/ijerph18020620'
107,access to physicians,1,'10.3390/ijerph18020620'
108,area median income (ami),1,'10.3390/ijerph18020620'
109,percentage of low- to medium income households,1,'10.3390/ijerph18020620'
110,less than high school education,1,'10.1016/j.ref.2022.02.002'
111,low-income,1,'10.1016/j.ref.2022.02.002'
112,minority,1,'10.1016/j.ref.2022.02.002'
113,air toxics cancer risk,1,'10.1016/j.ref.2022.02.002'
114,air toxics respiratory hazard index,1,'10.1016/j.ref.2022.02.002'
115,diesel particulate matter (pm),1,'10.1016/j.ref.2022.02.002'
116,pm2.5 concentration,1,'10.1016/j.ref.2022.02.002'
117,ozone concentration,1,'10.1016/j.ref.2022.02.002'
118,traffic proximity and volume,1,'10.1016/j.ref.2022.02.002'
119,lead paint indicator,1,'10.1016/j.ref.2022.02.002'
120,proximity to risk management plan facilities,1,'10.1016/j.ref.2022.02.002'
121,proximity to treatment/storage/disposal facilities,1,'10.1016/j.ref.2022.02.002'
122,proximity to national priorities list sites,1,'10.1016/j.ref.2022.02.002'
123,wastewater discharge indicator,1,'10.1016/j.ref.2022.02.002'
124, employment in mining/quarrying/o&g extraction,1,'10.1016/j.ref.2022.02.002'
125,farming-dependent counties,1,'10.1016/j.ref.2022.02.002'
126,persistent-poverty counties,1,'10.1016/j.ref.2022.02.002'
127,rural-urban continuum code,1,'10.1016/j.ref.2022.02.002'
128,technical generation potential for pv and wind,1,'10.1016/j.ref.2022.02.002'
129,levelized cost of energy for pv/wind/geothermal/hydropower,1,'10.1016/j.ref.2022.02.002'
130,capital cost for geothermal/hydropower,1,'10.1016/j.ref.2022.02.002'
131,utility service area,1,'10.1016/j.ref.2022.02.002'
132,cost savings estimates for solar-plus-storage,1,'10.1016/j.ref.2022.02.002'
133,distributional employment impacts: closing of thermal plants and mining and deployment of  pv,1,'10.1016/j.enpol.2021.112158'
134,job loss and gains,1,'10.1016/j.enpol.2021.112158'
135,land loss,1,'10.1016/j.enpol.2021.112158'
136,energy consumption for basic human needs,1,'10.1016/j.erss.2021.102075'
137,resource scarcity eefect on technology cost,1,'10.1016/j.erss.2021.102075'
138,learning effect on cost of technology,1,'10.1016/j.erss.2021.102075'
139,electricity generation technology cost of installed capacity,1,'10.1016/j.erss.2021.102075'
