,word,count,DOI
66,bill savings,1,'10.1016/j.enpol.2019.110935'
67,pv rebates,1,'10.1016/j.enpol.2019.110935'
68,pv income tax credits,1,'10.1016/j.enpol.2019.110935'
69,solar resource potential,1,'10.1016/j.enpol.2019.110935'
70,pv costs,1,'10.1016/j.enpol.2019.110935'
71,electricity prices,1,'10.1016/j.enpol.2019.110935'
72,energy insecurity,1,'10.1016/j.enpol.2019.110935'
73,upfront costs,1,'10.1016/j.enpol.2019.110935'
74,lack of access to financial instruments,1,'10.1016/j.enpol.2019.110935'
75,lack of information,1,'10.1016/j.enpol.2019.110935'
76,language barriers,1,'10.1016/j.enpol.2019.110935'
77,behavioral barriers,1,'10.1016/j.enpol.2019.110935'
78,access to information,1,'10.1016/j.enpol.2019.110935'
79,perception of risk,1,'10.1016/j.enpol.2019.110935'
80,neighborhood effects,1,'10.1016/j.enpol.2019.110935'
81,social diffusion peer effect,1,'10.1016/j.enpol.2019.110935'
82,ethnicity,1,'10.1016/j.enpol.2019.110935'
83,location of fossil fuelled plants,1,'10.1016/j.enpol.2019.110935'
84,technical literacy,1,'10.1016/j.erss.2021.102455'
85,ability to affort appliances,1,'10.1016/j.erss.2021.102455'
86,employment status,1,'10.1016/j.erss.2021.102455'
87,ability to carry higher mental load (time availability),1,'10.1016/j.erss.2021.102455'
88,risk perception,1,'10.1016/j.erss.2021.102455'
89,trust in community,1,'10.1016/j.erss.2021.102455'
90,trust in governance,1,'10.1016/j.erss.2021.102455'
91,trust in private companies,1,'10.1016/j.erss.2021.102455'
92,social connectedness/network,1,'10.1016/j.erss.2021.102455'
93,price instability,1,'10.1016/j.erss.2021.102455'
94,digital vulnerability,1,'10.1016/j.erss.2021.102455'
95,health status,1,'10.1016/j.erss.2021.102455'
96,social housing,1,'10.1007/s10584-019-02521-7'
97,ability to shift demand,1,'10.1007/s10584-019-02521-7'
98,digital literacy,1,'10.1007/s10584-019-02521-7'
99,barriers to participate,1,'10.1007/s10584-019-02521-7'
100,long-term cost for taxpayers,1,'10.1007/s10584-019-02521-7'
101,risk of accidents,1,'10.1007/s10584-019-02521-7'
102,uneven access to subsidies and incentives,1,'10.1007/s10584-019-02521-7'
103,ownership rate based on income,1,'10.1007/s10584-019-02521-7'
104,increase in electricity bills,1,'10.1007/s10584-019-02521-7'
105,efficiency measures based on income,1,'10.1007/s10584-019-02521-7'
106,building efficiency/insulation,1,'10.1007/s10584-019-02521-7'
107,efficient appliances,1,'10.1007/s10584-019-02521-7'
108,retraining,1,'10.1007/s10584-019-02521-7'
109,retraining at higher ages,1,'10.1007/s10584-019-02521-7'
110,limited access to finance,1,'10.1007/s10584-019-02521-7'
111,ability to participate due to housing status,1,'10.1007/s10584-019-02521-7'
112,unsafe working conditions in the supply line,1,'10.1007/s10584-019-02521-7'
113,rate of disconnection,1,'10.1007/s10584-019-02521-7'
114,rate of service disruption,1,'10.1007/s10584-019-02521-7'
115,rising energy costs,1,'10.1007/s10584-019-02521-7'
116, environmental burdens,1,'10.1007/s10584-019-02521-7'
117,energy access,1,'10.1007/s10584-019-02521-7'
118,limited ownership due to income,1,'10.1007/s10584-019-02521-7'
119,(inflexible) consumption patterns,1,'10.1007/s10584-019-02521-7'
120,heating cost,1,'10.1016/j.ecolecon.2022.107456'
121,saftey perfomance,1,'10.1016/j.ecolecon.2022.107456'
122,career field,1,'10.1016/j.ecolecon.2022.107456'
123,monthly family income,1,'10.1016/j.ecolecon.2022.107456'
124,energy subsidy satisfaction,1,'10.1016/j.ecolecon.2022.107456'
125,energy upgrade awareness,1,'10.1016/j.ecolecon.2022.107456'
126,age of housing,1,'10.1016/j.ecolecon.2022.107456'
127,type of housing,1,'10.1016/j.ecolecon.2022.107456'
128,percentage of total expenditures spent on energy,1,'10.1016/j.ecolecon.2022.107456'
129,willingness to change behaviour,1,'10.1016/j.ecolecon.2022.107456'
130,active participation in energy reform,1,'10.1016/j.ecolecon.2022.107456'
131,perceived risks,1,'10.1016/j.ecolecon.2022.107456'
132,energy efficiency of property,1,'10.1016/j.erss.2017.09.035'
133,needs,1,'10.1016/j.erss.2017.09.035'
134,the flexibility to meet these needs,1,'10.1016/j.erss.2017.09.035'
135,energy-related practices,1,'10.1016/j.erss.2017.09.035'
136,quality of dwelling fabric,1,'10.1016/j.erss.2017.09.035'
137,energy fuel costs,1,'10.1016/j.erss.2017.09.035'
138,energy supply issues,1,'10.1016/j.erss.2017.09.035'
139,stability of household income,1,'10.1016/j.erss.2017.09.035'
140,before housing costs (bhc),1,'10.1016/j.erss.2017.09.035'
141,after housing costs,1,'10.1016/j.erss.2017.09.035'
142,energy poverty,1,'10.3390/ijerph18020620'
143,public health,1,'10.3390/ijerph18020620'
144,air pollution exposure,1,'10.3390/ijerph18020620'
145,risk of mortality from the effects of poor environmental quality,1,'10.3390/ijerph18020620'
146, income inequality,1,'10.3390/ijerph18020620'
147,fuel expenditures,1,'10.3390/ijerph18020620'
148,distribution of burdens,1,'10.3390/ijerph18020620'
149, percentage of low- to medium income households,1,'10.3390/ijerph18020620'
150,distributional employment impacts: skills and educational level,1,'10.1016/j.enpol.2021.112158'
151,assessment based on distribution by gender,1,'10.1016/j.enpol.2021.112158'
152,education & skill requirement,1,'10.1016/j.enpol.2021.112158'
153,spatial distribution of job gains and losses (inter-regional inequalities),1,'10.1016/j.enpol.2021.112158'
154,local economy and identity,1,'10.1016/j.enpol.2021.112158'
155,land loss/acquisation and compensation,1,'10.1016/j.enpol.2021.112158'
156,closing of thermal power plants and mining and deployment of res,1,'10.1016/j.enpol.2021.112158'
157,availability of the means of energy production,1,'10.1016/j.erss.2021.102075'
158,availability of technologies,1,'10.1016/j.erss.2021.102075'
159,availability of professional expertise,1,'10.1016/j.erss.2021.102075'
160,availability of financial resources,1,'10.1016/j.erss.2021.102075'
161,cost of exploration,1,'10.1016/j.erss.2021.102075'
162,cost of extraction,1,'10.1016/j.erss.2021.102075'
163,power balance,1,'10.1016/j.erss.2021.102075'
164,"decentralized energy systems,",1,'10.1016/j.erss.2021.102075'
