,parameter,count,doi,Spatial Justice,social justice,Environmental Justice and Energy Justice,Fuel poverty,Energy justice,(Skip question: Not applicable),Justice in terms of worldviews of energy developers and Indigenous people,Environmental justice,"Dustributional impacts, vertical inequalities",Just Transition,None,"""Justice"" in general (eg. not placed in theoretical context)"
40,hebei province,1,'10.1016/j.ecolecon.2022.107456',0,0,0,0,1,0,0,0,0,0,0,0
41,liberia,1,'10.1109/GHTC46095.2019.9033126',0,0,0,0,1,0,0,0,0,0,0,0
42,santiago papasquiaro,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,1,0
43,guatemala,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,1,0
44,nicagagua,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,1,0
45,panama,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,1,0
46,colombia,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,1,0
47,costa rica,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,1,0
48,concepcion (central-south of chile),1,'10.1177/1420326X17713071',0,1,0,0,0,0,0,0,0,0,0,0
49,spain,1,'10.3390/su12155904',0,0,0,0,0,0,0,0,0,0,0,1
50,cities in beijing-tianjin-hebei (china),1,'10.1016/j.enpol.2021.112205',0,0,0,0,0,0,0,0,0,0,1,0
51,hague (netherlands),1,'10.1016/j.enpol.2021.112265',0,0,0,0,0,0,0,0,0,0,1,0
52,phoenix,1,'10.1080/13549839.2021.1916899',0,0,0,0,0,0,0,1,0,0,0,0
53,arizona (u.s.a),1,'10.1080/13549839.2021.1916899',0,0,0,0,0,0,0,1,0,0,0,0
