;parameter;count;doi;Type
90;housing without kitchen or plumbing;1;'10.3390/ijerph18020620';
91;number of associations per capita;1;'10.3390/ijerph18020620';
92;voter turnout;1;'10.3390/ijerph18020620';
93;non-profit organisations without international focus;1;'10.3390/ijerph18020620';
94;percent of non-hispanic back;1;'10.3390/ijerph18020620';
95;healthy food access;1;'10.3390/ijerph18020620';
96;access to physicians;1;'10.3390/ijerph18020620';
97;education;1;'10.3390/ijerph18020620';
98;area median income (ami);1;'10.3390/ijerph18020620';
99;percentage of low- to medium income households;1;'10.3390/ijerph18020620';
100;distributional employment impacts;1;'10.1016/j.enpol.2021.112158';
101;closing of thermal plants and mining and deployment of  pv;1;'10.1016/j.enpol.2021.112158';
102;job loss and gains;1;'10.1016/j.enpol.2021.112158';
103;land loss;1;'10.1016/j.enpol.2021.112158';
104;electricity and heat prices;1;'10.1016/j.enpol.2021.112265';
105;diesel particulate matter;1;'10.1080/13549839.2021.1916899';
106;ozone;1;'10.1080/13549839.2021.1916899';
107;particulate matter (pm2.5);1;'10.1080/13549839.2021.1916899';
108;asthma hospitalisations;1;'10.1080/13549839.2021.1916899';
109;high school education;1;'10.1080/13549839.2021.1916899';
110;households with no vehicle;1;'10.1080/13549839.2021.1916899';
111;energy poverty;1;'10.1080/13549839.2021.1916899';
112;basic energy needs;1;'10.1080/13549839.2021.1916899';
113;number of schools;1;'10.1080/13549839.2021.1916899';
114;number of hospitals;1;'10.1080/13549839.2021.1916899';
115;grocery stores;1;'10.1080/13549839.2021.1916899';
116;number of libraries;1;'10.1080/13549839.2021.1916899';
117;number of churches;1;'10.1080/13549839.2021.1916899';
118;community centres;1;'10.1080/13549839.2021.1916899';
119;parky;1;'10.1080/13549839.2021.1916899';
120;light rails transit stops;1;'10.1080/13549839.2021.1916899';
121;percent poverty;1;'10.1080/13549839.2021.1916899';
